priority,practice_name,city,email,email_status,source_type,source_url,recommended_channel,stage,notes
1,New Jersey Hair Restoration Center,"Freehold, NJ",info@njfue.com,verified_public,official,https://njfue.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,Maxim Hair Restoration & Transplants,"New York, NY",info@maximhairrestoration.com,verified_public,official,https://www.maximhairrestoration.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,Eternal Hair & Esthetics,"Totowa, NJ",reception@eternalhair.com,verified_public,official,https://eternalhair.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Medi Tresse,"New York, NY",info@meditresse.com,verified_public,official,https://www.meditresse.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,Soho Skin and Hair Restoration,"New York, NY",info@sohoskinandhair.com,verified_public,official,https://sohoskinandhair.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Sage Revive,"Moorestown, NJ",info@sagerevivemetuchen.com,verified_public,official_public,https://sagerevivemetuchen.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Fairfield Dermatology,"Fairfield, CT",info@fairfieldderm.com,verified_public,official,https://www.fairfieldderm.com/contact-us/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Geria Dermatology,"Rutherford, NJ",info@geriadermatology.com,verified_public,official,https://geriadermatology.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Amber Dermatology,"Trumbull, CT",info@amber-dermatology.com,verified_public,official,https://amber-dermatology.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Bodian Dermatology Group,"Great Neck, NY",bodiandermatology@gmail.com,verified_public,official_public,https://bodiandermatology.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,LA FUE Hair New York,"Garden City, NY",info@lafuehairnyc.com,verified_public,official,https://lafuehairnyc.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Borealis Dermatology,"Garden City, NY",info@borealisderm.com,verified_public,official,https://borealisderm.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,All Island Dermatology,"Garden City, NY",help@allislanddermatology.com,verified_public,official,https://allislanddermatology.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,Robotic Hair Restoration of Long Island,"Woodbury, NY",info@rhrli.com,verified_public,official,https://rhrli.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,Phoenix Hair Systems,"Huntington, NY",phoenixhairsystems@gmail.com,verified_public,official_public,https://phoenixhairsystems.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Dermaduo PRP & Wellness,"Greenlawn, NY",Dermaduo.nyc@gmail.com,verified_public,official_public,https://dermaduo.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,Philadelphia Hair Restoration,"Bala Cynwyd, PA",Philadelphiahairrestoration@gmail.com,verified_public,official_public,https://philadelphiahairrestoration.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Embrace Dermatology and Aesthetics,"Philadelphia, PA",info@embracederm.com,verified_public,official,https://embracederm.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,Precision Hair Restoration,"Philadelphia, PA",visit@phillyhairmd.com,verified_public,official,https://phillyhairmd.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Revive Medical,"Philadelphia, PA",info@revivephilly.com,verified_public,official,https://revivephilly.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Reforma Dermatology,"Staten Island, NY",contact@reformadermatology.com,verified_public,official,https://reformadermatology.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Refresh Clinic,"Paramus, NJ",info@refreshclinic.com,verified_public,official,https://refreshclinic.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,HAIRMD,"Englewood, NJ",info@hairmd.com,verified_public,official,https://www.hairmd.com/about,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,NJ Hair Institute,"Parsippany, NJ",info@njhairinstitute.com,verified_public,official,https://njhairinstitute.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,Hair Partners Relocation Center,"Cedar Grove, NJ",Info@HairPRC.com,verified_public,official,https://www.hairprc.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,International Hair Institute,"Chicago, IL",info@ihiclinic.com,verified_public,official,https://www.ihiclinic.com/contact-us/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Springs Rejuvenation,"New York, NY",info@springsrejuvenation.com,verified_public,official,https://springsrejuvenation.com/locations/new-york/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Men's Health & Wellness Center,"Skokie, IL",info@menshealthctr.com,verified_public,official,https://menshealthctr.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,NJ Hair Transplant Center,"Englishtown, NJ",info@njhairtransplantcenter.com,verified_public,official,https://njhairtransplantcenter.com/contacts/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,American Mane,"Aventura, FL",info@americanmane.com,verified_public,official,https://www.americanmane.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Greenwich Point Dermatology,"Greenwich, CT",info@greenwichpointderm.com,verified_public,official,https://www.greenwichpointdermatology.com/hair-regeneration/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Hair Z System,"Chicago, IL",info@hairzsystem.com,verified_public,official,https://hairzsystem.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Texas Facial Aesthetics,"Frisco, TX",info@txfaces.com,verified_public,official,https://www.txfaces.com/procedures/hair-restoration/hair-transplant/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Aethos,"New York, NY",info@aethosnyc.com,verified_public,official,https://aethosnyc.com/book-online/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,HealthOne Medical Center,"Bloomingdale, IL",info@healthonemedicalcenter.com,verified_public,official,https://healthonemedicalcenter.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Tampa Bay Hair Group,"Tampa, FL",info@tampahairgroup.com,verified_public,official,https://www.tampahairgroup.com/contact,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Premier Dermatology,"Wellesley, MA",info@premierderm.org,verified_public,official,https://www.premierderm.org/dermatology-services/cosmetic-dermatology/hair-restoration/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Quell Aesthetics & Wellness,"Maryville, IL",info@quellaesthetics.com,verified_public,official,https://quellaesthetics.com/aesthetics/hair-restoration/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Vive Vida Medical,"Farmington, CT",info@ViveVidaMed.com,verified_public,official,https://www.vivevidamed.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Ohio Hair Solutions,"Canton, OH",Info@ohiohairsolutions.com,verified_public,official,https://ohiohairsolutions.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Virginia Hair Transplant,"Leesburg, VA",Info@VirginiaHairTransplant.com,verified_public,official,https://www.virginiahairtransplant.com/request-callback/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Chambers Hair Institute,"Troy, MI",info@chambershair.net,verified_public,official,https://www.chambershair.net/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,DC Surgical Arts,"Washington, DC",info@dcsurgicalarts.com,verified_public,official,https://www.dcsurgicalarts.com/facial-cosmetics/prp-hair-restoration,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Anderson Center for Hair,"Atlanta, GA",Info@AndersonHSC.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=georgia,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,North Atlanta Hair Restoration,"Alpharetta, GA",info@nahairrestoration.com,verified_public,official,https://www.nahairrestoration.com/contact/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Anderson Center for Hair - Dr Wetzel,"Atlanta, GA",drwetzel@andersonhsc.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=georgia,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Vision Dermatology Med Spa,"Raleigh, NC",Medspa@visiondermatology.com,verified_public,official,https://www.visiondermatology.com/services-4,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
